sample,_study,detailed_category,_sample_type,primary disease or tissue,CLDN4
GTEX-13FTZ-0011-R10b-SM-5KLZS,GTEX,Brain - Frontal Cortex (Ba9),Normal Tissue,Brain - Frontal Cortex (Ba9),-1.086
TCGA-L5-A4OU-01,TCGA,Esophageal Carcinoma,Primary Tumor,Esophageal Carcinoma,9.493
TCGA-CN-6994-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,6.93
GTEX-13FTY-0126-SM-5J2NZ,GTEX,Lung,Normal Tissue,Lung,6.757
TCGA-D6-6826-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,6.785
TCGA-A2-A0SX-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,8.52
TCGA-OR-A5J8-01,TCGA,Adrenocortical Cancer,Primary Tumor,Adrenocortical Cancer,-0.5332
GTEX-11P82-0526-SM-5986P,GTEX,Esophagus - Mucosa,Normal Tissue,Esophagus - Mucosa,8.182
GTEX-13QBU-0226-SM-5LU48,GTEX,Heart - Atrial Appendage,Normal Tissue,Heart - Atrial Appendage,-2.114
GTEX-PX3G-1426-SM-48U1J,GTEX,Colon - Transverse,Normal Tissue,Colon - Transverse,7.288
TCGA-N7-A4Y5-01,TCGA,Uterine Carcinosarcoma,Primary Tumor,Uterine Carcinosarcoma,-1.026
TCGA-KK-A8I4-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,7.575
TCGA-BF-AAP2-01,TCGA,Skin Cutaneous Melanoma,Primary Tumor,Skin Cutaneous Melanoma,1.368
TCGA-BQ-7049-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,7.983
TCGA-B8-5545-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,5.848
TCGA-A7-A26G-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,6.585
GTEX-12WSE-0826-SM-5S2VL,GTEX,Lung,Normal Tissue,Lung,4.059
GTEX-XUJ4-1826-SM-4BOOU,GTEX,Skin - Not Sun Exposed (Suprapubic),Normal Tissue,Skin - Not Sun Exposed (Suprapubic),7.878
GTEX-XQ8I-0326-SM-4BOPN,GTEX,Artery - Coronary,Normal Tissue,Artery - Coronary,-0.4719
TCGA-US-A776-01,TCGA,Pancreatic Adenocarcinoma,Primary Tumor,Pancreatic Adenocarcinoma,9.246
TCGA-BR-8484-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,7.482
GTEX-XYKS-2626-SM-4BRUT,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-1.994
TCGA-55-7724-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,5.637
GTEX-UJHI-1626-SM-3DB9A,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,3.339
GTEX-XPVG-1726-SM-4B65W,GTEX,Small Intestine - Terminal Ileum,Normal Tissue,Small Intestine - Terminal Ileum,1.423
GTEX-13X6I-0526-SM-5QGP8,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-1.685
TCGA-27-1831-01,TCGA,Glioblastoma Multiforme,Primary Tumor,Glioblastoma Multiforme,-2.053
TCGA-F4-6703-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,7.306
TCGA-HU-A4G8-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,7.907
TCGA-QR-A70V-01,TCGA,Pheochromocytoma & Paraganglioma,Primary Tumor,Pheochromocytoma & Paraganglioma,0.6517
GTEX-WFON-1426-SM-5CHT1,GTEX,Colon - Transverse,Normal Tissue,Colon - Transverse,-9.966
TCGA-EE-A2MN-06,TCGA,Skin Cutaneous Melanoma,Metastatic,Skin Cutaneous Melanoma,-2.727
GTEX-RTLS-0626-SM-5SI7Z,GTEX,Thyroid,Normal Tissue,Thyroid,6.423
TCGA-BP-4334-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,6.998
GTEX-12WSJ-1126-SM-5LZVJ,GTEX,Skin - Not Sun Exposed (Suprapubic),Normal Tissue,Skin - Not Sun Exposed (Suprapubic),7.461
TCGA-DX-AB2Q-01,TCGA,Sarcoma,Primary Tumor,Sarcoma,0.1519
TCGA-44-6776-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,7.981
TCGA-49-4514-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,6.819
GTEX-13X6K-0726-SM-5LU2Z,GTEX,Adipose - Visceral (Omentum),Normal Tissue,Adipose - Visceral (Omentum),-1.149
TCGA-2G-AAFG-01,TCGA,Testicular Germ Cell Tumor,Primary Tumor,Testicular Germ Cell Tumor,2.118
GTEX-ZUA1-0226-SM-5NQ9Q,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,0.099
GTEX-11O72-2226-SM-5PNW2,GTEX,Colon - Transverse,Normal Tissue,Colon - Transverse,1.749
TCGA-05-4396-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,8.308
TARGET-20-PATDNN-04,TARGET,Acute Myeloid Leukemia,Recurrent Blood Derived Cancer - Bone Marrow,Acute Myeloid Leukemia,-5.574
TCGA-XM-A8RL-01,TCGA,Thymoma,Primary Tumor,Thymoma,-0.5973
TCGA-EJ-7789-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,7.238
TCGA-85-A50Z-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,3.461
